product_id|cod_agencia_id|cod_ruta_id|date|units|forecast_creation_date
29530|14461|1237|2019-01-23|5|2019-01-22
32497|14461|4913|2019-01-23|53|2019-01-22
29471|14477|507|2019-01-23|21|2019-01-22
29526|14471|1210|2019-01-23|3|2019-01-22
29554|14464|1229|2019-01-23|4|2019-01-22
29551|14461|1228|2019-01-23|8|2019-01-22
29544|14472|1204|2019-01-23|5|2019-01-22
29558|14462|1282|2019-01-23|4|2019-01-22
29554|14462|1235|2019-01-23|40|2019-01-22
29526|14462|1254|2019-01-23|5|2019-01-22
29473|14466|1501|2019-01-23|130|2019-01-22
29537|14472|1252|2019-01-23|1|2019-01-22
48948|14463|1243|2019-01-23|11|2019-01-22
29481|14461|1505|2019-01-23|36|2019-01-22
29542|14472|1201|2019-01-23|2|2019-01-22
29469|14472|1211|2019-01-23|2|2019-01-22
536|14464|1202|2019-01-23|61|2019-01-22
42517|14463|127|2019-01-23|7|2019-01-22
29552|14465|1207|2019-01-23|1|2019-01-22
42609|14466|1241|2019-01-23|12|2019-01-22
29490|14461|1525|2019-01-23|12|2019-01-22
41685|14465|1507|2019-01-23|10|2019-01-22
29551|14461|1230|2019-01-23|5|2019-01-22
29537|14461|1210|2019-01-23|1|2019-01-22
41685|14462|1228|2019-01-23|1|2019-01-22
29497|14463|118|2019-01-23|1|2019-01-22
29559|14462|1252|2019-01-23|1|2019-01-22
29483|14465|1507|2019-01-23|12|2019-01-22
44945|14477|1209|2019-01-23|7|2019-01-22
