product_id,product_description,cod_agencia_id,cod_ruta_id,date,last_8wk_avg_sales_units,last_8wk_avg_return_units,units,forecast_creation_date
29502,Briollo 8p 240g PNL,14472,1215,1/23/2019,0,0,6,1/22/2019
29470,Molde sin Corteza 450g GRI,14461,1202,1/23/2019,0,0,7,1/22/2019
29519,Dulzones Chocolate 12p 360g SUP,14461,1203,1/23/2019,0,0,2,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14468,1222,1/23/2019,0,0,1,1/22/2019
500329,Mini Brownie Chocolate 18g BIM_500329,14465,1209,1/23/2019,0,0,16,1/22/2019
29533,Mini Rosquitas Integrales 50g SUP,14466,1205,1/23/2019,0,0,11,1/22/2019
29479,Molde Integral 700g SUP,14461,4909,1/23/2019,0,0,6,1/22/2019
41687,Bimdog 8p 320g BIM_41687,14466,1221,1/23/2019,0,0,3,1/22/2019
29483,Molde Yogurt y Almendras 500g BAU,14478,1503,1/23/2019,0,0,252,1/22/2019
29558,Apanadura Dorada 150g SUP,14473,1203,1/23/2019,0,0,18,1/22/2019
29519,Dulzones Chocolate 12p 360g SUP,14461,1217,1/23/2019,0,0,29,1/22/2019
29497,Super Hot Dog 8p 600g REY,14462,1249,1/23/2019,0,0,2,1/22/2019
29479,Molde Integral 700g SUP,14462,1246,1/23/2019,0,0,6,1/22/2019
29558,Apanadura Dorada 150g SUP,14477,102,1/23/2019,0,0,12,1/22/2019
500328,Mini Chocoso 20g BIM_500328,14463,118,1/23/2019,0,0,6,1/22/2019
29544,Mini Tostadas Francesas 40g GRI,14462,1248,1/23/2019,0,0,4,1/22/2019
29551,Tostadas Naturales 16p 100g GRI,14463,119,1/23/2019,0,0,16,1/22/2019
41685,Molde Actileche sn Corteza 450g BIM_41685,14466,1502,1/23/2019,0,0,10,1/22/2019
500329,Mini Brownie Chocolate 18g BIM_500329,14463,1243,1/23/2019,0,0,6,1/22/2019
29551,Tostadas Naturales 16p 100g GRI,14463,1241,1/23/2019,0,0,5,1/22/2019
44945,Hot Dog Gourmet 12p 890g EUR_4531,14464,1226,1/23/2019,0,0,1,1/22/2019
41628,Keke Casero Vainilla 230g BIM_41628,14468,1514,1/23/2019,0,0,6,1/22/2019
41687,Bimdog 8p 320g BIM_41687,14463,529,1/23/2019,0,0,1,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14461,1239,1/23/2019,0,0,7,1/22/2019
29551,Tostadas Naturales 16p 100g GRI,14464,1222,1/23/2019,0,0,5,1/22/2019
29530,Mini Rosquitas Naturales 50g SUP,14471,1210,1/23/2019,0,0,5,1/22/2019
29557,Apanadura 250g BIM,14465,1216,1/23/2019,0,0,13,1/22/2019
29479,Molde Integral 700g SUP,14462,1201,1/23/2019,0,0,1,1/22/2019
29553,Tostadas Francesas 16p 120g GRI,14464,1214,1/23/2019,0,0,16,1/22/2019
29471,Molde Gigante 800g REY,14471,1207,1/23/2019,0,0,56,1/22/2019
42513,Molde 100pct Integral 600g BIM_42513,14461,1569,1/23/2019,0,0,8,1/22/2019
29471,Molde Gigante 800g REY,14464,1208,1/23/2019,0,0,8,1/22/2019
29530,Mini Rosquitas Naturales 50g SUP,14468,1221,1/23/2019,0,0,1,1/22/2019
29551,Tostadas Naturales 16p 100g GRI,14461,1210,1/23/2019,0,0,2,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14466,1251,1/23/2019,0,0,3,1/22/2019
29558,Apanadura Dorada 150g SUP,14461,1265,1/23/2019,0,0,5,1/22/2019
29549,Mini Tostadas Integrales 40g GRI,14473,1211,1/23/2019,0,0,3,1/22/2019
29557,Apanadura 250g BIM,14462,1237,1/23/2019,0,0,14,1/22/2019
29497,Super Hot Dog 8p 600g REY,14466,1247,1/23/2019,0,0,13,1/22/2019
49276,Submarinos Chocomora 2p 54g MLA_49276,14472,1211,1/23/2019,0,0,12,1/22/2019
29551,Tostadas Naturales 16p 100g GRI,14461,1217,1/23/2019,0,0,1,1/22/2019
29491,Super Hamburguesa 8p 520g SUP,14472,1534,1/23/2019,0,0,6,1/22/2019
500329,Mini Brownie Chocolate 18g BIM_500329,14466,1249,1/23/2019,0,0,30,1/22/2019
48920,Tortillinas Clasicas gde 8p 320g BIM_48920,14461,1202,1/23/2019,0,0,5,1/22/2019
29538,Submarinos Sumergido 2p 54g MLA_29538,14466,4901,1/23/2019,0,0,35,1/22/2019
29546,Tostadas Francesas 4p 30g GRI,14461,1268,1/23/2019,0,0,6,1/22/2019
42609,Submarinos Chocolate 4p 33g MLA_42609,14463,129,1/23/2019,0,0,7,1/22/2019
29497,Super Hot Dog 8p 600g REY,14465,1210,1/23/2019,0,0,50,1/22/2019
500329,Mini Brownie Chocolate 18g BIM_500329,14472,1207,1/23/2019,0,0,26,1/22/2019
29538,Submarinos Sumergido 2p 54g MLA_29538,14462,1260,1/23/2019,0,0,4,1/22/2019
29526,Rosquitas Llaneras 200g SUP,14468,1207,1/23/2019,0,0,4,1/22/2019
41685,Molde Actileche sn Corteza 450g BIM_41685,14466,1212,1/23/2019,0,0,3,1/22/2019
42223,Molde Blanco con Actileche 580g BIM_42223,14464,1504,1/23/2019,0,0,10,1/22/2019
29557,Apanadura 250g BIM,14466,1248,1/23/2019,0,0,30,1/22/2019
29499,Super Hamburguesa 12p 800g REY,14472,1209,1/23/2019,0,0,4,1/22/2019
29481,Molde 9 Cereales 500g BAU,14464,4903,1/23/2019,0,0,6,1/22/2019
40265,Apanadura Dorada 1Kg SUP_40265,14466,1245,1/23/2019,0,0,5,1/22/2019
29530,Mini Rosquitas Naturales 50g SUP,14462,1261,1/23/2019,0,0,14,1/22/2019
536,Panquecito 50g tira BIM_133,14462,1258,1/23/2019,0,0,51,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14462,1249,1/23/2019,0,0,1,1/22/2019
29479,Molde Integral 700g SUP,14462,1257,1/23/2019,0,0,3,1/22/2019
42517,Supan Integral Clasico 500g SUP_42517,14461,4908,1/23/2019,0,0,7,1/22/2019
29536,Bimboletes Gotas Chocolate 2p 70g BIM_29536,14461,1593,1/23/2019,0,0,40,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14477,1202,1/23/2019,0,0,1,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14462,1202,1/23/2019,0,0,1,1/22/2019
29489,Hamburguesa Jumbo12p 1140g SUP_29489,14465,1506,1/23/2019,0,0,4,1/22/2019
42517,Supan Integral Clasico 500g SUP_42517,14462,1202,1/23/2019,0,0,3,1/22/2019
42609,Submarinos Chocolate 4p 33g MLA_42609,14478,1503,1/23/2019,0,0,665,1/22/2019
29499,Super Hamburguesa 12p 800g REY,14472,1201,1/23/2019,0,0,8,1/22/2019
29554,Tostadas Integrales 16p 100g GRI,14464,1208,1/23/2019,0,0,18,1/22/2019
32497,Panditas Acidos 5p 25g EXP CA RIC_3316,14461,1246,1/23/2019,0,0,23,1/22/2019
29521,Dulzones Chocolate 2p 60g SUP,14461,1509,1/23/2019,0,0,6,1/22/2019
29473,Molde Blanco 500g SUP,14462,1505,1/23/2019,0,0,40,1/22/2019
500329,Mini Brownie Chocolate 18g BIM_500329,14466,1201,1/23/2019,0,0,15,1/22/2019
41687,Bimdog 8p 320g BIM_41687,14461,1559,1/23/2019,0,0,6,1/22/2019
29527,Rosquitas Trenzadas 200g SUP,14471,1214,1/23/2019,0,0,10,1/22/2019
49276,Submarinos Chocomora 2p 54g MLA_49276,14462,1243,1/23/2019,0,0,12,1/22/2019
42223,Molde Blanco con Actileche 580g BIM_42223,14462,4904,1/23/2019,0,0,7,1/22/2019
29490,Super Hot Dog 8p 600g SUP,14462,1202,1/23/2019,0,0,1,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14462,1263,1/23/2019,0,0,1,1/22/2019
29536,Bimboletes Gotas Chocolate 2p 70g BIM_29536,14472,1216,1/23/2019,0,0,4,1/22/2019
29502,Briollo 8p 240g PNL,14463,1504,1/23/2019,0,0,15,1/22/2019
41688,Bimburger 4p 230g BIM_41688,14464,1229,1/23/2019,0,0,1,1/22/2019
29495,Hot Dog 8p 320g SUP,14461,1588,1/23/2019,0,0,11,1/22/2019
42609,Submarinos Chocolate 4p 33g MLA_42609,14461,1576,1/23/2019,0,0,10,1/22/2019
41685,Molde Actileche sn Corteza 450g BIM_41685,14462,1203,1/23/2019,0,0,2,1/22/2019
33288,Submarinos Mix 540g Cj MLA_33288,14463,120,1/23/2019,0,0,1,1/22/2019
29534,Bimboletes Vainilla 2p 70g BIM_29534,14472,1203,1/23/2019,0,0,1,1/22/2019
