fecha_de_venta,ceve_id,ITEM,producto,transitos,existencia,safety_stock,sugerido,pedido_final,pedido_final_camas,pedido_final_tarimas
2019-03-22,12768,122932,CHIPS SAL 53G BAR,0,0,0,0,0,0,0
2019-03-22,12768,31562,CHIPS SAL 60G BAR,129,39,19,0,0,0,0
2019-03-22,12768,123495,CHIPS SAL DE MAR 50G BOLSA CO2 BAR,0,0,0,0,0,0,0
2019-03-22,12768,35036,CHIPS SAL DE MAR CORTE DELGADO 170G BAR,0,0,0,0,0,0,0
2019-03-22,12768,35034,CHIPS SAL DE MAR CORTE DELGADO 55G BAR,0,0,0,0,0,0,0
2019-03-22,12768,123122,CHOCOLATE EMOJI 290G CU RIC,0,0,0,0,0,0,0
2019-03-22,12768,123121,CHOCOLATE EMOJI 290G RIC,0,0,0,0,0,0,0
2019-03-22,12768,34601,CHOCORETAS 44G RIC,0,0,0,0,0,0,0
2019-03-22,12768,122886,CHOCORETAS 49G RIC,0,0,0,0,0,0,0
2019-03-22,12768,8824,CHOX POP 30G BAR,0,0,0,0,0,0,0
2019-03-22,12768,32204,CHURRITOS CHILE Y LIMON 60G AV BAR,0,0,0,0,0,0,0
2019-03-22,12768,31211,CHURRITOS CHILE Y LIMON 60G BAR,53,65,6,0,0,0,0
2019-03-22,12768,35262,CHURRITOS CHILE Y LIMON CONV 60G BAR,0,0,0,0,0,0,0
2019-03-22,12768,37987,CHURRITOS FUEGO 50G BAR,90,0,5,0,0,0,0
2019-03-22,12768,38849,CHURRITOS FUEGO CONV 50G BAR,0,0,0,0,0,0,0
2019-03-22,12768,40480,CHUTAZO BOLSA DE RESURTIDO 20P RIC,0,0,0,0,0,0,0
2019-03-22,12768,123488,CHUTAZO FRESA 20P 370G CJ CU LC,0,0,0,0,0,0,0
2019-03-22,12768,123671,CHUTAZO FRESA DET 20P 370G CJ CU LC,0,0,0,0,0,0,0
2019-03-22,12768,9568,CHUTAZO LIGAMX 1110G LC,0,0,0,0,0,0,0
2019-03-22,12768,124143,CHUTAZO MUNDIA 60P 1110G VITROLERO CU LC,0,0,0,0,0,0,0
2019-03-22,12768,124258,CLEVER ADULTO 22KG PROM CU CLE,0,0,0,0,0,0,0
2019-03-22,12768,124257,CLEVER CACHORRO 16.5KG PROM CU CLE,0,0,0,0,0,0,0
2019-03-22,12768,32766,COMBO TAMARINDO 43G VER,0,0,0,0,0,0,0
2019-03-22,12768,124068,CROCANTISSIMO QUESO CHIPOTLE 110G CU BIM,0,0,0,0,0,0,0
2019-03-22,12768,200884,CROCANTISSIMO QUESO CHIPOTLE 250G CU BIM,0,0,0,0,0,0,0
